Permittivity  data per frequency,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,"Stirrer, RPM","Conductivity, mS/cm",Volume_V,Phase_Sh,Fs_in,Biomasse_X_in,Proteine_P_in,Biomasse_X_target,Proteine_P_target
-2.33996201,-1.56855392,-1.11465836,-0.73630142,-0.413661,-0.20366287,-0.15952778,-0.19794083,-0.11873651,-0.24058342,-0.00074053,0.22218901,0.09377372,200.0,48.14912033,1.96792833333333,0,0.12,37.9414351564365,2.39189353126528,37.9414351564365,2.39189353126528
-2.3471756,-1.48975372,-0.91823387,-0.70669365,-0.45682621,-0.19288445,-0.13908148,-0.14021921,-0.16025805,-0.24772692,0.07835805,0.18535846,0.07520956,200.0,48.17364883,1.96801816666667,0,0.12,37.92751593532,2.46297614523147,37.92751593532,2.46297614523147
-2.39711761,-1.55177307,-1.01993752,-0.61014938,-0.49117851,-0.24529648,-0.17649317,-0.11510897,-0.13858819,-0.26341271,0.02615845,0.22817212,0.09027243,200.0,48.18625641,1.968208,0,0.12,37.9135684613093,2.53421010828188,37.9135684613093,2.53421010828188
-2.4210701,-1.53656387,-0.99816704,-0.63207626,-0.49584389,-0.26242733,-0.15729713,-0.10461807,-0.08477759,-0.25772834,0.03375244,0.32551378,0.09196651,200.0,48.1791954,1.96819783333333,0,0.12,37.8996219510392,2.60559532843436,37.8996219510392,2.60559532843436
-2.45218658,-1.54637527,-1.03086472,-0.66090965,-0.42967796,-0.2388773,-0.07025719,-0.09374619,-0.07268548,-0.23499393,0.03828156,0.30690807,0.10994303,200.0,48.2052536,1.96818766666667,0,0.12,37.8858250192364,2.67713171370678,37.8858250192364,2.67713171370678
-2.52007294,-1.43967438,-1.03566933,-0.69989586,-0.47586823,-0.30309105,-0.12011242,-0.07779646,-0.12072515,-0.26701784,0.0352459,0.23260564,0.13409811,200.0,48.23028946,1.9681775,0,0.12,37.8724745630163,2.74881917211702,37.8724745630163,2.74881917211702
-2.60032654,-1.55273438,-1.12301636,-0.72528839,-0.55542374,-0.32015228,-0.15632105,-0.0588727,-0.15557098,-0.28943133,0.00057876,0.18328673,0.02721435,200.0,48.24290466,1.96826733333333,0,0.12,37.860219618532,2.82065761168295,37.860219618532,2.82065761168295
-2.49959183,-1.49464417,-1.07014275,-0.68893623,-0.54070282,-0.29202461,-0.10234022,-0.05507898,-0.16067672,-0.25768518,-0.02166069,0.17695516,0.06401455,200.0,48.22864914,1.96825716666667,0,0.12,37.8468128895498,2.89264694042242,37.8468128895498,2.89264694042242
-2.45895767,-1.58507538,-1.03872108,-0.65638924,-0.54415226,-0.35383892,-0.04605961,-0.09661627,-0.23044086,-0.25374675,-0.02603567,0.18350607,0.02807665,200.0,48.23118591,1.968247,0,0.12,37.8348369086602,2.9647870663533,37.8348369086602,2.9647870663533
-2.41579819,-1.4191246,-0.6503582,-0.64662361,-0.52826405,-0.31771183,-0.01877213,-0.01384258,-0.14332843,-0.23561525,-0.0021112,0.22529846,0.04436016,200.0,48.25996017,1.96823683333333,0,0.12,37.823538760332,3.03707789749348,37.823538760332,3.03707789749348
